"OCC","Occupation","Occupation Category (1st Level)","Occupation Category (2nd Level)","Occupation Category (3rd Level)","Occupation Category (4th Level)"
"848","Hoist and winch operators","Operators, Fabricators, and Laborers","Transportation and Material Moving Occupations","Material Moving Equipment Operators",
"849","Crane and tower operators","Operators, Fabricators, and Laborers","Transportation and Material Moving Occupations","Material Moving Equipment Operators",
"853","Excavating and loading machine operators","Operators, Fabricators, and Laborers","Transportation and Material Moving Occupations","Material Moving Equipment Operators",
"855","Grader, dozer, and scraper operators","Operators, Fabricators, and Laborers","Transportation and Material Moving Occupations","Material Moving Equipment Operators",
"856","Industrial truck and tractor equipment operators","Operators, Fabricators, and Laborers","Transportation and Material Moving Occupations","Material Moving Equipment Operators",
"859","Misc. material moving equipment operators","Operators, Fabricators, and Laborers","Transportation and Material Moving Occupations","Material Moving Equipment Operators",
"863","Supervisors, handlers, equipment cleaners, and laborers, n.e.c.","Operators, Fabricators, and Laborers","Handlers, Equipment Cleaners, Helpers, and Laborers",,
"864","Helpers, mechanics and repairers","Operators, Fabricators, and Laborers","Handlers, Equipment Cleaners, Helpers, and Laborers",,
"865","Helpers, construction trades","Operators, Fabricators, and Laborers","Handlers, Equipment Cleaners, Helpers, and Laborers","Helpers, Construction and Extractive Occupations",
"866","Helpers, surveyor","Operators, Fabricators, and Laborers","Handlers, Equipment Cleaners, Helpers, and Laborers","Helpers, Construction and Extractive Occupations",
"867","Helpers, extractive occupations","Operators, Fabricators, and Laborers","Handlers, Equipment Cleaners, Helpers, and Laborers","Helpers, Construction and Extractive Occupations",
"869","Construction laborers","Operators, Fabricators, and Laborers","Handlers, Equipment Cleaners, Helpers, and Laborers",,
"873","Production helpers","Operators, Fabricators, and Laborers","Handlers, Equipment Cleaners, Helpers, and Laborers",,
"875","Garbage collectors","Operators, Fabricators, and Laborers","Handlers, Equipment Cleaners, Helpers, and Laborers","Freight, Stock, and Material Handlers",
"876","Stevedores","Operators, Fabricators, and Laborers","Handlers, Equipment Cleaners, Helpers, and Laborers","Freight, Stock, and Material Handlers",
"877","Stock handlers and baggers","Operators, Fabricators, and Laborers","Handlers, Equipment Cleaners, Helpers, and Laborers","Freight, Stock, and Material Handlers",
"878","Machine feeders and offbearers","Operators, Fabricators, and Laborers","Handlers, Equipment Cleaners, Helpers, and Laborers","Freight, Stock, and Material Handlers",
"883","Freight, stock, and material handlers, n.e.c.","Operators, Fabricators, and Laborers","Handlers, Equipment Cleaners, Helpers, and Laborers",,
"885","Garage and service station related occupations","Operators, Fabricators, and Laborers","Handlers, Equipment Cleaners, Helpers, and Laborers",,
"887","Vehicle washers and equipment cleaners","Operators, Fabricators, and Laborers","Handlers, Equipment Cleaners, Helpers, and Laborers",,
"888","Hand packers and packagers","Operators, Fabricators, and Laborers","Handlers, Equipment Cleaners, Helpers, and Laborers",,
"889","Laborers, except construction","Operators, Fabricators, and Laborers","Handlers, Equipment Cleaners, Helpers, and Laborers",,
"905","Unemployed, last worked in Armed Forces (within past 5 years)","Workers not Classified by Occupation",,,
"909","Unemployed, no work within past 5 years","Workers not Classified by Occupation",,,
